intent,Rid,Request
atis_flight,1,i would like to fly the cheapest rate available from pittsburgh to atlanta on wednesday morning
atis_airline,2,show me airlines with flights from pittsburgh to boston please
atis_flight,3,show me the continental flights with meals which depart seattle on sunday for chicago
atis_flight,4,show me flights from denver to dc on wednesday
atis_flight,5,do you have a flight from atlanta to charlotte north carolina next monday
atis_flight,6,what flights are available tuesday afternoon from pittsburgh to atlanta
atis_flight,7,please show me the flights from las vegas to detroit on the twenty eighth
atis_flight,8,can you show me what flights are available on december sixteen going from oakland to dallas
atis_flight,9,i would like to see flights from denver to philadelphia
atis_flight,10,could you please find me the earliest flight from boston to oakland
atis_flight,11,list the cheapest round trip flights from orlando to kansas city
atis_flight,12,is there a thursday night flight from pittsburgh to san francisco on us air
atis_flight,13,i would like an early morning nonstop flight from new york to las vegas on february twenty eighth
atis_airfare,14,july seventh what is the cost of a round trip ticket traveling first class on united airlines leaving from denver going to baltimore
atis_airfare,15,what is the cost of round trip ticket first class between oakland and atlanta
atis_flight,16,i want to go from boston to oakland
atis_airline,17,show me a list of all the airlines that offer business class service
atis_flight,18,what are flights from boston to st. petersburg
atis_flight,19,list daily flights from atlanta to denver
atis_flight,20,show me the flights from cincinnati to denver
atis_flight,21,what flights are there from pittsburgh to los angeles
atis_flight,22,i'd like united airlines flights from denver to baltimore
atis_flight,23,show me all flights from pittsburgh which leave tomorrow and arrive in boston
atis_flight,24,show me flights from milwaukee to orlando on wednesday after 6 pm
atis_flight,25,i would like a flight from denver to pittsburgh
atis_aircraft,26,what type of aircraft is used on the first flight from philadelphia to dallas in the morning
atis_ground_service,27,i need information on ground transportation between airport and downtown in the city of boston
atis_flight,28,flights from phoenix to las vegas
atis_airfare,29,show me the round trip tickets from baltimore to atlanta
atis_flight,30,i'd like to see the flights from pittsburgh to philadelphia
atis_flight,31,my destination is san francisco i live in denver i would like a flight on august thirtieth in the morning on any airline that will get me there
atis_airfare,32,what is the first class fare from indianapolis to orlando
atis_flight,33,show me all the flights to baltimore from denver or philadelphia or pittsburgh
atis_flight,34,are there any flights from new york to montreal canada leaving on thursday
atis_flight,35,show flights from pittsburgh to oakland connecting through denver
atis_abbreviation,36,explain restriction ap 57
atis_abbreviation,37,what does the abbreviation ua mean
atis_quantity,38,how many cities are served by american airline with first class flights
atis_flight,39,what flights are there between nashville and st. louis which are nonstop and arrive after noon and before 8 pm
atis_flight,40,please list the thursday morning flights from st. louis to st. paul
atis_flight,41,what flight leaves dallas for atlanta on august twenty seventh in the evening
atis_flight,42,is there a flight on united airlines from boston to denver
atis_flight,43,does midwest express have any flights
atis_flight,44,show me the flights into love field
atis_flight,45,are there any later flights than 810 pm leaving from milwaukee for tacoma tomorrow evening
atis_flight,46,is there a flight on american airlines going from boston to san francisco on june twenty eighth
atis_abbreviation,47,code ff
atis_flight,48,i want a flight from philadelphia to dallas with a stop in atlanta
atis_flight,49,show me all flights from baltimore or denver or pittsburgh that fly to philadelphia
atis_flight,50,what is the earliest flight on friday from washington to san francisco
atis_airline,51,what airlines from washington dc to columbus
atis_flight,52,flights from denver to seattle on saturday morning on continental
atis_flight,53,what flights go from san francisco to washington via indianapolis
atis_ground_service,54,tell me about the ground transportation in chicago
atis_ground_service,55,i would like to find out the ground travel available in atlanta
atis_flight,56,show me all flights from pittsburgh to dallas
atis_flight,57,show any flights leaving san francisco on sunday and arriving in pittsburgh
atis_airfare,58,how much does flight ua 297 from denver to san francisco cost
atis_flight,59,show me the flights from salt lake city to st. petersburg late night on tuesday
atis_airfare,60,what is the cheapest fare between atlanta and san francisco
atis_flight,61,i need a return flight from chicago to kansas city leaving chicago around 7 in the evening next thursday
atis_quantity,62,how many daily us air flights are there between philadelphia and pittsburgh
atis_flight,63,i need to fly between philadelphia and atlanta
atis_flight,64,what is your last trip from washington to boston on august twenty seventh
atis_flight,65,is there a flight between oakland and boston with a stopover in dallas fort worth on twa
atis_flight,66,show flights from new york city to las vegas
atis_flight,67,show me the flight with the smallest seating capacity which leaves pittsburgh and arrives in baltimore on june fourteenth
atis_flight,68,please show all flights from philadelphia to denver airport next sunday
atis_flight,69,show me all the flights between dallas fort worth and either san francisco or oakland that depart between 5 and 7 pm
atis_flight,70,list flights from philadelphia to san francisco via dallas
atis_flight,71,please list the flights from dallas fort worth to dc baltimore on july twenty third
atis_airfare,72,what's the lowest round trip fare from dallas to atlanta
atis_flight,73,show me the flights from love field
atis_flight,74,flights from cleveland to kansas city on monday
atis_flight,75,i need to fly from baltimore to dallas on tuesday evening
atis_abbreviation,76,what is fare class h
atis_airfare,77,show me the cheapest fare from dallas to baltimore
atis_flight,78,could you tell me if delta flight 296 serves breakfast
atis_flight,79,could i have a list of flights in first class on monday from san francisco to pittsburgh starting at noon and afterwards
atis_flight,80,what flights from miami to indianapolis on sunday
atis_flight,81,does continental airlines fly from denver to san francisco
atis_flight,82,show me one way flights from milwaukee to orlando
atis_flight,83,i would like to see the flights from denver to philadelphia
atis_flight,84,baltimore to philadelphia
atis_flight,85,is there a flight on delta airlines from boston to denver
atis_flight,86,show me all the united flights from boston to denver
atis_flight,87,what are the flights from las vegas to burbank also on saturday may twenty two
atis_flight,88,find a flight between denver and oakland the flight should leave in the afternoon and arrive near 5 pm the flight should also be nonstop
atis_flight,89,what flights go from newark to boston after 1024 in the morning
atis_abbreviation,90,explain the fare code q
atis_flight,91,show me the flights from boston to pittsburgh on wednesday or thursday
atis_flight,92,i'd like to fly nonstop from atlanta to baltimore and get there at 7 pm
atis_flight,93,i'd need information please on a flight from washington dc san francisco california
atis_flight,94,from toronto to atlanta in the afternoon
atis_flight,95,what are the morning flights from boston to philadelphia
atis_flight,96,i need to know if there are any direct flights from st. petersburg florida to tacoma washington leaving preferably tomorrow morning
atis_flight,97,what is the earliest flight going from san francisco to dallas on monday august nineteenth
atis_flight,98,what flights are there from atlanta to washington early on thursday mornings
atis_aircraft,99,what aircraft is used on delta flight 1222 from kansas city to salt lake city
atis_abbreviation,100,what does dfw mean
atis_airfare,101,what's the cheapest round trip fare between boston and washington
atis_flight,102,please list all delta flights from kansas city to salt lake city
atis_flight,103,find me the earliest flight from boston to atlanta on any day of the week
atis_airfare,104,what's the lowest round trip fare from dallas to any city
atis_flight,105,hi i'd like to fly from columbus to phoenix and make a stop in cincinnati along the way
atis_airfare,106,how much does it cost to fly on delta from dallas to baltimore
atis_flight,107,show me all flights from denver to baltimore
atis_flight,108,what flights land at general mitchell international
atis_flight,109,i'm sorry i want to book a flight from atlanta to denver colorado
atis_flight,110,flight from denver to salt lake city
atis_airfare,111,what is the lowest cost fare that delta has between boston and san francisco
atis_flight,112,i'd like to take a flight from washington dc stop in denver and with my final destination as san francisco
atis_flight,113,on november twenty third of this year 1991 i'd like to fly from atlanta to denver and i'd like to fly on delta
atis_flight,114,what is the earliest flight leaving denver and arriving in baltimore on united airlines first class on july fourth
atis_ground_service,115,show ground transportation for pittsburgh
atis_flight,116,list lowest cost flight from dallas to baltimore that serves a meal
atis_flight,117,flights from dallas to houston in the morning
atis_flight,118,show me flights from dallas to san francisco on wednesdays
atis_flight,119,flight information from pittsburgh to denver
atis_flight,120,friday's flights between newark and tampa
atis_flight,121,give me a flight from memphis to las vegas and new york city to las vegas on sunday that arrive at the same time
atis_flight,122,i would like a flight from philadelphia to san francisco
atis_flight,123,flights from ontario to florida
atis_flight,124,i'd like to arrange a flight from pittsburgh to atlanta
atis_airfare,125,how much does it cost to fly directly from philadelphia to san francisco on american airlines
atis_ground_service,126,show me ground transportation in boston
atis_flight,127,does american airlines fly from philadelphia to dallas
atis_flight,128,show me the flights from denver to atlanta
atis_flight,129,what are the flights from pittsburgh to baltimore
atis_abbreviation,130,what is dl
atis_flight,131,a first class flight on american to san francisco on the coming tuesday
atis_flight,132,what flights go from newark to boston after 5 pm
atis_abbreviation,133,what is restriction ap 57
atis_flight,134,list all the flights that takeoff from general mitchell international
atis_airline,135,what airlines are ac and as
atis_flight,136,i want a return flight from washington to dallas on american airlines
atis_ground_service,137,what ground transportation is available at baltimore
atis_flight,138,list all flights from denver to philadelphia
atis_flight,139,give me the flights from memphis tennessee to charlotte north carolina
atis_flight,140,i need a nonstop flight from san diego to phoenix
atis_flight,141,on eastern flight 825 from atlanta to denver can you tell me what type of aircraft used before 12 noon
atis_flight,142,list the cheapest one way flight from miami florida to charlotte north carolina
atis_flight,143,i want the cheapest flight from pittsburgh to atlanta
